country,edu,health,crime,pop,hap_ind,gdppc,log_gdppc,social,life_exp,freedom,generosity
Finland,6.4,4.6,1.6,5540718,7.842,47810.47324,10.775,0.954,72,0.949,-0.098
Denmark,10.1,7.8,1,5792203,7.62,55994.01002,10.933,0.954,72.7,0.946,0.03
Switzerland,11.9,5.1,0.6,8654618,7.571,67305.68604,11.117,0.942,74.4,0.919,0.025
Iceland,8.5,7.7,0.9,341250,7.554,52997.49885,10.878,0.983,73,0.955,0.16
Netherlands,10,5.2,0.6,17134873,7.464,55938.04399,10.932,0.942,72.4,0.913,0.175
Norway,10,7.9,0.9,5421242,7.392,63133.07,11.053,0.954,73.3,0.96,0.093
Sweden,10.9,7.6,1.1,10099270,7.363,52417.72099,10.867,0.934,72.7,0.945,0.086
Luxembourg,5.3,3.6,0.3,625976,7.324,114347.8046,11.647,0.908,72.6,0.907,-0.034
New Zealand,9.2,6.3,0.7,4822233,7.277,41898.2777,10.643,0.948,73.4,0.929,0.134
Austria,10.3,5.4,1,9006400,7.268,54502.39911,10.906,0.934,73.3,0.908,0.042
Australia,9.3,5.1,0.9,25499881,7.183,48825.10958,10.796,0.94,73.9,0.914,0.159
Israel,7.5,6.1,1.5,8655541,7.157,39143.90476,10.575,0.939,73.503,0.8,0.031
Germany,11.2,4.9,0.9,83783945,7.155,52733.17273,10.873,0.903,72.5,0.875,0.011
Canada,10.8,5.3,1.8,37742157,7.103,47858.30763,10.776,0.926,73.8,0.915,0.089
Ireland,6.9,3.5,0.9,4937796,7.085,84288.43955,11.342,0.947,72.4,0.879,0.077
Costa Rica,7.6,7,11.3,5094114,7.069,19535.72266,9.88,0.891,71.4,0.934,-0.126
United Kingdom,10,5.4,1.2,67886004,7.064,44667.43537,10.707,0.934,72.5,0.859,0.233
Czech Republic,7.6,3.9,0.6,10516707,6.965,38407.19151,10.556,0.947,70.807,0.858,-0.208
United States,16.9,5,5,331002647,6.951,61267.2058,11.023,0.92,68.2,0.837,0.098
